vector_index,ID,Symbol,Security,Wikipedia_URL
0,1,MMM,3M,https://en.wikipedia.org/wiki/3M
1,2,AOS,A. O. Smith,https://en.wikipedia.org/wiki/A._O._Smith
2,3,ABT,Abbott Laboratories,https://en.wikipedia.org/wiki/Abbott_Laboratories
3,4,ABBV,AbbVie,https://en.wikipedia.org/wiki/AbbVie
4,5,ACN,Accenture,https://en.wikipedia.org/wiki/Accenture
5,6,ADBE,Adobe Inc.,https://en.wikipedia.org/wiki/Adobe_Inc.
6,7,AMD,Advanced Micro Devices,https://en.wikipedia.org/wiki/AMD
7,8,AES,AES Corporation,https://en.wikipedia.org/wiki/AES_Corporation
8,9,AFL,Aflac,https://en.wikipedia.org/wiki/Aflac
9,10,A,Agilent Technologies,https://en.wikipedia.org/wiki/Agilent_Technologies
10,11,APD,Air Products,https://en.wikipedia.org/wiki/Air_Products
11,12,ABNB,Airbnb,https://en.wikipedia.org/wiki/Airbnb
12,13,AKAM,Akamai Technologies,https://en.wikipedia.org/wiki/Akamai_Technologies
13,14,ALB,Albemarle Corporation,https://en.wikipedia.org/wiki/Albemarle_Corporation
14,15,ARE,Alexandria Real Estate Equities,https://en.wikipedia.org/wiki/Alexandria_Real_Estate_Equities
15,16,ALGN,Align Technology,https://en.wikipedia.org/wiki/Align_Technology
16,17,ALLE,Allegion,https://en.wikipedia.org/wiki/Allegion
17,18,LNT,Alliant Energy,https://en.wikipedia.org/wiki/Alliant_Energy
18,19,ALL,Allstate,https://en.wikipedia.org/wiki/Allstate
19,20,GOOGL,Alphabet Inc. (Class A),https://en.wikipedia.org/wiki/Alphabet_Inc.
20,21,GOOG,Alphabet Inc. (Class C),https://en.wikipedia.org/wiki/Alphabet_Inc.
21,22,MO,Altria,https://en.wikipedia.org/wiki/Altria
22,23,AMZN,Amazon,https://en.wikipedia.org/wiki/Amazon_(company)
23,24,AMCR,Amcor,https://en.wikipedia.org/wiki/Amcor
24,25,AEE,Ameren,https://en.wikipedia.org/wiki/Ameren
25,26,AEP,American Electric Power,https://en.wikipedia.org/wiki/American_Electric_Power
26,27,AXP,American Express,https://en.wikipedia.org/wiki/American_Express
27,28,AIG,American International Group,https://en.wikipedia.org/wiki/American_International_Group
28,29,AMT,American Tower,https://en.wikipedia.org/wiki/American_Tower
29,30,AWK,American Water Works,https://en.wikipedia.org/wiki/American_Water_Works
30,31,AMP,Ameriprise Financial,https://en.wikipedia.org/wiki/Ameriprise_Financial
31,32,AME,Ametek,https://en.wikipedia.org/wiki/Ametek
32,33,AMGN,Amgen,https://en.wikipedia.org/wiki/Amgen
33,34,APH,Amphenol,https://en.wikipedia.org/wiki/Amphenol
34,35,ADI,Analog Devices,https://en.wikipedia.org/wiki/Analog_Devices
35,36,AON,Aon plc,https://en.wikipedia.org/wiki/Aon_(company)
36,37,APA,APA Corporation,https://en.wikipedia.org/wiki/APA_Corporation
37,38,APO,Apollo Global Management,https://en.wikipedia.org/wiki/Apollo_Global_Management
38,39,AAPL,Apple Inc.,https://en.wikipedia.org/wiki/Apple_Inc.
39,40,AMAT,Applied Materials,https://en.wikipedia.org/wiki/Applied_Materials
40,41,APP,AppLovin,https://en.wikipedia.org/wiki/AppLovin
41,42,APTV,Aptiv,https://en.wikipedia.org/wiki/Aptiv
