Cluster,Count,Companies
-1,57,"Accenture | Air Products | Allegion | American Express | Amphenol | Builders FirstSource | Carrier Global | CBRE Group | CDW Corporation | Colgate-Palmolive | Cooper Companies (The) | Corteva | CrowdStrike | CSX Corporation | Dell Technologies | Ecolab | GE Vernova | GoDaddy | Hasbro | Honeywell | Hubbell Incorporated | Intel | Interpublic Group of Companies (The) | Intuit | Invesco | J.B. Hunt | Jabil | Jacobs Solutions | Johnson & Johnson | Johnson Controls | KLA Corporation | Lam Research | Lennar | Lennox International | Live Nation Entertainment | Netflix | Nike, Inc. | Norfolk Southern | Nvidia | NVR, Inc. | Oracle Corporation | PPG Industries | Procter & Gamble | PulteGroup | Seagate Technology | Snap-on | Solventum | Stanley Black & Decker | Sysco | Tesla, Inc. | Texas Instruments | Veralto | Verisign | Verisk Analytics | Waters Corporation | Western Digital | Willis Towers Watson"
0,10,3M | Freeport-McMoRan | Iron Mountain | Martin Marietta Materials | Masco | Mohawk Industries | Mosaic Company (The) | Newmont | Nucor | Vulcan Materials Company
1,5,Baker Hughes | Halliburton | Linde plc | LyondellBasell | Schlumberger
2,54,AES Corporation | Alliant Energy | Ameren | American Electric Power | APA Corporation | Atmos Energy | CenterPoint Energy | Chevron Corporation | CMS Energy | ConocoPhillips | Consolidated Edison | Constellation Energy | Coterra | Devon Energy | Diamondback Energy | Dominion Energy | DTE Energy | Duke Energy | Eaton Corporation | Edison International | Emcor | Emerson Electric | Entergy | EOG Resources | EQT Corporation | Evergy | Eversource Energy | Exelon | Expand Energy | ExxonMobil | FirstEnergy | Kinder Morgan | Marathon Petroleum | NextEra Energy | NiSource | NRG Energy | Occidental Petroleum | Oneok | PG&E Corporation | Phillips 66 | Pinnacle West Capital | PPL Corporation | Public Service Enterprise Group | Quanta Services | Sempra | Southern Company | Targa Resources | Texas Pacific Land Corporation | Union Pacific Corporation | Valero Energy | Vistra Corp. | WEC Energy Group | Williams Companies | Xcel Energy
3,5,AT&T | Charter Communications | Comcast | T-Mobile US | Verizon
4,12,Cardinal Health | Cencora | Centene Corporation | CVS Health | Elevance Health | HCA Healthcare | Henry Schein | Humana | McKesson Corporation | Molina Healthcare | UnitedHealth Group | Universal Health Services
5,24,"Alexandria Real Estate Equities | American Tower | AvalonBay Communities | BXP, Inc. | Camden Property Trust | Crown Castle | Digital Realty | Equinix | Equity Residential | Essex Property Trust | Extra Space Storage | Federal Realty Investment Trust | Healthpeak Properties | Kimco Realty | Mid-America Apartment Communities | Prologis | Public Storage | Realty Income | Regency Centers | SBA Communications | Simon Property Group | UDR, Inc. | Ventas | Welltower"
6,8,"A. O. Smith | American Water Works | Republic Services | Sherwin-Williams | Wabtec | Waste Management | Weyerhaeuser | Williams-Sonoma, Inc."
7,6,Albemarle Corporation | Altria | Amcor | Corning Inc. | Packaging Corporation of America | Smurfit Westrock
8,10,Church & Dwight | Clorox | Dover Corporation | Dow Inc. | DuPont | Eastman Chemical Company | International Paper | Kimberly-Clark | Philip Morris International | Steel Dynamics
