ID,Symbol,Security,Wikipedia_URL,Cluster
1,MMM,3M,https://en.wikipedia.org/wiki/3M,0
2,AOS,A. O. Smith,https://en.wikipedia.org/wiki/A._O._Smith,6
3,ABT,Abbott Laboratories,https://en.wikipedia.org/wiki/Abbott_Laboratories,20
4,ABBV,AbbVie,https://en.wikipedia.org/wiki/AbbVie,20
5,ACN,Accenture,https://en.wikipedia.org/wiki/Accenture,-1
6,ADBE,Adobe Inc.,https://en.wikipedia.org/wiki/Adobe_Inc.,31
7,AMD,Advanced Micro Devices,https://en.wikipedia.org/wiki/AMD,31
8,AES,AES Corporation,https://en.wikipedia.org/wiki/AES_Corporation,2
9,AFL,Aflac,https://en.wikipedia.org/wiki/Aflac,27
10,A,Agilent Technologies,https://en.wikipedia.org/wiki/Agilent_Technologies,20
11,APD,Air Products,https://en.wikipedia.org/wiki/Air_Products,-1
12,ABNB,Airbnb,https://en.wikipedia.org/wiki/Airbnb,14
13,AKAM,Akamai Technologies,https://en.wikipedia.org/wiki/Akamai_Technologies,32
14,ALB,Albemarle Corporation,https://en.wikipedia.org/wiki/Albemarle_Corporation,7
15,ARE,Alexandria Real Estate Equities,https://en.wikipedia.org/wiki/Alexandria_Real_Estate_Equities,5
16,ALGN,Align Technology,https://en.wikipedia.org/wiki/Align_Technology,26
17,ALLE,Allegion,https://en.wikipedia.org/wiki/Allegion,-1
18,LNT,Alliant Energy,https://en.wikipedia.org/wiki/Alliant_Energy,2
19,ALL,Allstate,https://en.wikipedia.org/wiki/Allstate,27
20,GOOGL,Alphabet Inc. (Class A),https://en.wikipedia.org/wiki/Alphabet_Inc.,29
21,GOOG,Alphabet Inc. (Class C),https://en.wikipedia.org/wiki/Alphabet_Inc.,29
22,MO,Altria,https://en.wikipedia.org/wiki/Altria,7
23,AMZN,Amazon,https://en.wikipedia.org/wiki/Amazon_(company),29
24,AMCR,Amcor,https://en.wikipedia.org/wiki/Amcor,7
25,AEE,Ameren,https://en.wikipedia.org/wiki/Ameren,2
26,AEP,American Electric Power,https://en.wikipedia.org/wiki/American_Electric_Power,2
27,AXP,American Express,https://en.wikipedia.org/wiki/American_Express,-1
28,AIG,American International Group,https://en.wikipedia.org/wiki/American_International_Group,27
29,AMT,American Tower,https://en.wikipedia.org/wiki/American_Tower,5
30,AWK,American Water Works,https://en.wikipedia.org/wiki/American_Water_Works,6
31,AMP,Ameriprise Financial,https://en.wikipedia.org/wiki/Ameriprise_Financial,27
32,AME,Ametek,https://en.wikipedia.org/wiki/Ametek,20
33,AMGN,Amgen,https://en.wikipedia.org/wiki/Amgen,20
34,APH,Amphenol,https://en.wikipedia.org/wiki/Amphenol,-1
35,ADI,Analog Devices,https://en.wikipedia.org/wiki/Analog_Devices,31
36,AON,Aon plc,https://en.wikipedia.org/wiki/Aon_(company),27
37,APA,APA Corporation,https://en.wikipedia.org/wiki/APA_Corporation,2
38,APO,Apollo Global Management,https://en.wikipedia.org/wiki/Apollo_Global_Management,27
39,AAPL,Apple Inc.,https://en.wikipedia.org/wiki/Apple_Inc.,29
40,AMAT,Applied Materials,https://en.wikipedia.org/wiki/Applied_Materials,30
41,APP,AppLovin,https://en.wikipedia.org/wiki/AppLovin,32
42,APTV,Aptiv,https://en.wikipedia.org/wiki/Aptiv,26
43,ACGL,Arch Capital Group,https://en.wikipedia.org/wiki/Arch_Capital_Group,27
44,ADM,Archer Daniels Midland,https://en.wikipedia.org/wiki/Archer_Daniels_Midland,10
45,ANET,Arista Networks,https://en.wikipedia.org/wiki/Arista_Networks,32
46,AJG,Arthur J. Gallagher & Co.,https://en.wikipedia.org/wiki/Arthur_J._Gallagher_%26_Co.,27
47,AIZ,Assurant,https://en.wikipedia.org/wiki/Assurant,27
48,T,AT&T,https://en.wikipedia.org/wiki/AT%26T,3
49,ATO,Atmos Energy,https://en.wikipedia.org/wiki/Atmos_Energy,2
50,ADSK,Autodesk,https://en.wikipedia.org/wiki/Autodesk,31
51,ADP,Automatic Data Processing,https://en.wikipedia.org/wiki/ADP_(company),32
52,AZO,AutoZone,https://en.wikipedia.org/wiki/AutoZone,12
53,AVB,AvalonBay Communities,https://en.wikipedia.org/wiki/AvalonBay_Communities,5
54,AVY,Avery Dennison,https://en.wikipedia.org/wiki/Avery_Dennison,31
55,AXON,Axon Enterprise,https://en.wikipedia.org/wiki/Axon_Enterprise,31
56,BKR,Baker Hughes,https://en.wikipedia.org/wiki/Baker_Hughes,1
57,BALL,Ball Corporation,https://en.wikipedia.org/wiki/Ball_Corporation,10
58,BAC,Bank of America,https://en.wikipedia.org/wiki/Bank_of_America,24
59,BAX,Baxter International,https://en.wikipedia.org/wiki/Baxter_International,20
60,BDX,Becton Dickinson,https://en.wikipedia.org/wiki/BD_(company),20
61,BRK.B,Berkshire Hathaway,https://en.wikipedia.org/wiki/Berkshire_Hathaway,27
62,BBY,Best Buy,https://en.wikipedia.org/wiki/Best_Buy,18
63,TECH,Bio-Techne,https://en.wikipedia.org/wiki/Bio-Techne,20
64,BIIB,Biogen,https://en.wikipedia.org/wiki/Biogen,20
65,BLK,BlackRock,https://en.wikipedia.org/wiki/BlackRock,28
66,BX,Blackstone Inc.,https://en.wikipedia.org/wiki/Blackstone_Inc.,28
67,XYZ,"Block, Inc.","https://en.wikipedia.org/wiki/Block,_Inc.",23
68,BK,BNY Mellon,https://en.wikipedia.org/wiki/BNY,24
69,BA,Boeing,https://en.wikipedia.org/wiki/Boeing,16
70,BKNG,Booking Holdings,https://en.wikipedia.org/wiki/Booking_Holdings,14
71,BSX,Boston Scientific,https://en.wikipedia.org/wiki/Boston_Scientific,20
72,BMY,Bristol Myers Squibb,https://en.wikipedia.org/wiki/Bristol_Myers_Squibb,20
73,AVGO,Broadcom,https://en.wikipedia.org/wiki/Broadcom,30
74,BR,Broadridge Financial Solutions,https://en.wikipedia.org/wiki/Broadridge_Financial_Solutions,28
75,BRO,Brown & Brown,https://en.wikipedia.org/wiki/Brown_%26_Brown,27
76,BF.B,Brown–Forman,https://en.wikipedia.org/wiki/Brown%E2%80%93Forman,10
77,BLDR,Builders FirstSource,https://en.wikipedia.org/wiki/Builders_FirstSource,-1
