vector_index,ID,Symbol,Security,Wikipedia_URL,Symbol_meta,Security_meta,Wikipedia_URL_meta,Intro,cluster,cluster_prob,umap_x,umap_y,cluster_str,hover
0,1,MMM,3M,https://en.wikipedia.org/wiki/3M,MMM,3M,https://en.wikipedia.org/wiki/3M,"The 3M Company is an American multinational conglomerate operating in the fields of industry, worker safety, and consumer goods. Based in the Saint Paul suburb of Maplewood, the company produces over 60,000 products, including adhesives, abrasives, laminates, passive fire protection, personal protective equipment, window films, paint protection film, electrical, electronic connecting, insulating materials, car-care products, electronic circuits, and optical films. Among its best-known consumer brands are Scotch Tape, Scotchgard surface protectants, Post-it notes, and Nexcare adhesive bandages. 3M's stock ticker symbol is MMM and is listed on the New York Stock Exchange, Inc. (NYSE), the Chicago Stock Exchange, Inc., and the SIX Swiss Exchange.",-1,0.0,0.19310842,-0.020898653,noise,"ID: 1
Symbol: MMM
Security: 3M
Cluster: noise
Prob: 0.000

The 3M Company is an American multinational conglomerate operating in the fields of industry, worker safety, and consumer goods. Based in the Saint Paul suburb of Maplewood, the company produces over..."
1,2,AOS,A. O. Smith,https://en.wikipedia.org/wiki/A._O._Smith,AOS,A. O. Smith,https://en.wikipedia.org/wiki/A._O._Smith,"A. O. Smith Corporation is an American manufacturer of both residential and commercial water heaters and boilers, and the largest manufacturer and marketer of water heaters in North America. It also supplies water treatment and water purification products in the Asian market. The company has 27 locations worldwide, including five manufacturing facilities in North America, as well as plants in Bengaluru in India, Nanjing in China and Veldhoven in The Netherlands.",-1,0.0,-0.042739328,-0.19299406,noise,"ID: 2
Symbol: AOS
Security: A. O. Smith
Cluster: noise
Prob: 0.000

A. O. Smith Corporation is an American manufacturer of both residential and commercial water heaters and boilers, and the largest manufacturer and marketer of water heaters in North America. It also..."
2,3,ABT,Abbott Laboratories,https://en.wikipedia.org/wiki/Abbott_Laboratories,ABT,Abbott Laboratories,https://en.wikipedia.org/wiki/Abbott_Laboratories,"Abbott Laboratories is an American multinational medical devices and health care company with headquarters in Abbott Park, Illinois. The company produces pharmaceuticals for sale outside the United States, diagnostic products, nutritional products, and medical devices.",-1,0.0,0.28451627,-0.034919634,noise,"ID: 3
Symbol: ABT
Security: Abbott Laboratories
Cluster: noise
Prob: 0.000

Abbott Laboratories is an American multinational medical devices and health care company with headquarters in Abbott Park, Illinois. The company produces pharmaceuticals for sale outside the United..."
3,4,ABBV,AbbVie,https://en.wikipedia.org/wiki/AbbVie,ABBV,AbbVie,https://en.wikipedia.org/wiki/AbbVie,"AbbVie Inc. is an American pharmaceutical company headquartered in North Chicago, Illinois. They have produced drugs to treat a wide range of medical issues.",-1,0.0,0.20779137,0.03437596,noise,"ID: 4
Symbol: ABBV
Security: AbbVie
Cluster: noise
Prob: 0.000

AbbVie Inc. is an American pharmaceutical company headquartered in North Chicago, Illinois. They have produced drugs to treat a wide range of medical issues."
4,5,ACN,Accenture,https://en.wikipedia.org/wiki/Accenture,ACN,Accenture,https://en.wikipedia.org/wiki/Accenture,"Accenture plc is a multinational professional services company headquartered in Dublin, Ireland, that specializes in information technology (IT) services and management consulting. It was founded in the United States in 1989. A Fortune Global 500 company, it reported revenues of $64.9 billion in 2024.",-1,0.0,0.10770575,0.11722798,noise,"ID: 5
Symbol: ACN
Security: Accenture
Cluster: noise
Prob: 0.000

Accenture plc is a multinational professional services company headquartered in Dublin, Ireland, that specializes in information technology (IT) services and management consulting. It was founded in..."
5,6,ADBE,Adobe Inc.,https://en.wikipedia.org/wiki/Adobe_Inc.,ADBE,Adobe Inc.,https://en.wikipedia.org/wiki/Adobe_Inc.,"Adobe Inc., formerly Adobe Systems Incorporated, is an American multinational computer software company based in San Jose, California. It offers a wide range of programs from web design tools, photo manipulation and vector creation, through to video/audio editing, mobile app development, print layout and animation software.",-1,0.0,0.35044575,0.029353775,noise,"ID: 6
Symbol: ADBE
Security: Adobe Inc.
Cluster: noise
Prob: 0.000

Adobe Inc., formerly Adobe Systems Incorporated, is an American multinational computer software company based in San Jose, California. It offers a wide range of programs from web design tools, photo..."
6,7,AMD,Advanced Micro Devices,https://en.wikipedia.org/wiki/AMD,AMD,Advanced Micro Devices,https://en.wikipedia.org/wiki/AMD,"Advanced Micro Devices, Inc. (AMD) is an American multinational corporation and technology company headquartered in Santa Clara, California, with significant operations in Austin, Texas. AMD is a hardware and fabless company that designs and develops central processing units (CPUs), graphics processing units (GPUs), field-programmable gate arrays (FPGAs), system-on-chip (SoC), and high-performance computer solutions. AMD serves a wide range of business and consumer markets, including gaming, data centers, artificial intelligence (AI), and embedded systems.",-1,0.0,0.31673804,-0.08710147,noise,"ID: 7
Symbol: AMD
Security: Advanced Micro Devices
Cluster: noise
Prob: 0.000

Advanced Micro Devices, Inc. (AMD) is an American multinational corporation and technology company headquartered in Santa Clara, California, with significant operations in Austin, Texas. AMD is a..."
7,8,AES,AES Corporation,https://en.wikipedia.org/wiki/AES_Corporation,AES,AES Corporation,https://en.wikipedia.org/wiki/AES_Corporation,"The AES Corporation is an American utility and power generation company. It owns and operates power plants, which it uses to generate and sell electricity to end users and intermediaries like utilities and industrial facilities. AES, headquartered in Arlington, Virginia, is one of the world's leading power companies, generating and distributing electric power in 15 countries and employing 10,500 people worldwide. AES Corporation is a global Fortune 500 power company. AES Ranks in the Top Ten of Fast Company's 2022 Best Workplaces for Innovators.",-1,0.0,-0.11851276,-0.23143968,noise,"ID: 8
Symbol: AES
Security: AES Corporation
Cluster: noise
Prob: 0.000

The AES Corporation is an American utility and power generation company. It owns and operates power plants, which it uses to generate and sell electricity to end users and intermediaries like..."
8,9,AFL,Aflac,https://en.wikipedia.org/wiki/Aflac,AFL,Aflac,https://en.wikipedia.org/wiki/Aflac,"Aflac Incorporated is an American insurance company and is the largest provider of supplemental insurance in the United States. It was founded in 1955 and is based in Columbus, Georgia. In the U.S., it underwrites a wide range of insurance policies, but is perhaps more known for its payroll deduction insurance coverage, which pays cash benefits when a policyholder has a covered accident or illness. The company states it ""provides financial protection to more than 50 million people worldwide"".",-1,0.0,-0.024525443,0.15573628,noise,"ID: 9
Symbol: AFL
Security: Aflac
Cluster: noise
Prob: 0.000

Aflac Incorporated is an American insurance company and is the largest provider of supplemental insurance in the United States. It was founded in 1955 and is based in Columbus, Georgia. In the U.S.,..."
9,10,A,Agilent Technologies,https://en.wikipedia.org/wiki/Agilent_Technologies,A,Agilent Technologies,https://en.wikipedia.org/wiki/Agilent_Technologies,"Agilent Technologies, Inc. is an American global company headquartered in Santa Clara, California, that provides instruments, software, services, and consumables for laboratories. Agilent was established in 1999 as a spin-off from Hewlett-Packard. The resulting IPO of Agilent stock was the largest in the history of Silicon Valley at the time. From 1999 to 2014, the company produced optics, semiconductors, EDA software and test and measurement equipment for electronics; that division was spun off to form Keysight. Since then, the company has continued to expand into pharmaceutical, diagnostics & clinical, and academia & government (research) markets.",-1,0.0,0.27660757,-0.120727435,noise,"ID: 10
Symbol: A
Security: Agilent Technologies
Cluster: noise
Prob: 0.000

Agilent Technologies, Inc. is an American global company headquartered in Santa Clara, California, that provides instruments, software, services, and consumables for laboratories. Agilent was..."
