ID,Symbol,Security,Wikipedia_URL,Cluster,X,Y
1,MMM,3M,https://en.wikipedia.org/wiki/3M,4,2.9103045,3.3412807
2,AOS,A. O. Smith,https://en.wikipedia.org/wiki/A._O._Smith,11,3.861105,1.3304985
3,ABT,Abbott Laboratories,https://en.wikipedia.org/wiki/Abbott_Laboratories,9,1.9934055,0.12323754
4,ABBV,AbbVie,https://en.wikipedia.org/wiki/AbbVie,9,2.3057947,0.086919926
5,ACN,Accenture,https://en.wikipedia.org/wiki/Accenture,-1,0.91686726,2.9210017
6,ADBE,Adobe Inc.,https://en.wikipedia.org/wiki/Adobe_Inc.,20,-0.36606956,1.7843932
7,AMD,Advanced Micro Devices,https://en.wikipedia.org/wiki/AMD,20,-0.122581184,1.5636953
8,AES,AES Corporation,https://en.wikipedia.org/wiki/AES_Corporation,12,4.828335,1.2529861
9,AFL,Aflac,https://en.wikipedia.org/wiki/Aflac,15,3.0591993,5.9200077
10,A,Agilent Technologies,https://en.wikipedia.org/wiki/Agilent_Technologies,-1,0.93994695,0.5834403
11,APD,Air Products,https://en.wikipedia.org/wiki/Air_Products,-1,4.109461,2.2242332
12,ABNB,Airbnb,https://en.wikipedia.org/wiki/Airbnb,6,-0.05793293,5.065578
13,AKAM,Akamai Technologies,https://en.wikipedia.org/wiki/Akamai_Technologies,21,-0.38835683,2.330617
14,ALB,Albemarle Corporation,https://en.wikipedia.org/wiki/Albemarle_Corporation,7,3.4003751,2.046588
15,ARE,Alexandria Real Estate Equities,https://en.wikipedia.org/wiki/Alexandria_Real_Estate_Equities,6,-1.0870976,6.280133
16,ALGN,Align Technology,https://en.wikipedia.org/wiki/Align_Technology,9,1.127378,1.1275687
17,ALLE,Allegion,https://en.wikipedia.org/wiki/Allegion,-1,2.9844437,5.351752
18,LNT,Alliant Energy,https://en.wikipedia.org/wiki/Alliant_Energy,12,4.8958836,1.1279386
19,ALL,Allstate,https://en.wikipedia.org/wiki/Allstate,15,3.2510023,6.236738
20,GOOGL,Alphabet Inc. (Class A),https://en.wikipedia.org/wiki/Alphabet_Inc.,21,-1.125681,2.101546
21,GOOG,Alphabet Inc. (Class C),https://en.wikipedia.org/wiki/Alphabet_Inc.,21,-1.0649694,2.218979
22,MO,Altria,https://en.wikipedia.org/wiki/Altria,7,3.2769744,2.1156168
23,AMZN,Amazon,https://en.wikipedia.org/wiki/Amazon_(company),21,-0.89777416,2.4576433
24,AMCR,Amcor,https://en.wikipedia.org/wiki/Amcor,7,2.8048615,2.4221292
25,AEE,Ameren,https://en.wikipedia.org/wiki/Ameren,12,5.099953,0.8634879
26,AEP,American Electric Power,https://en.wikipedia.org/wiki/American_Electric_Power,12,4.9541063,1.2206609
27,AXP,American Express,https://en.wikipedia.org/wiki/American_Express,13,1.2192982,6.0856886
