ID,Symbol,Security,Wikipedia_URL,Cluster
1,MMM,3M,https://en.wikipedia.org/wiki/3M,0
2,AOS,A. O. Smith,https://en.wikipedia.org/wiki/A._O._Smith,-1
3,ABT,Abbott Laboratories,https://en.wikipedia.org/wiki/Abbott_Laboratories,7
4,ABBV,AbbVie,https://en.wikipedia.org/wiki/AbbVie,-1
5,ACN,Accenture,https://en.wikipedia.org/wiki/Accenture,-1
6,ADBE,Adobe Inc.,https://en.wikipedia.org/wiki/Adobe_Inc.,10
7,AMD,Advanced Micro Devices,https://en.wikipedia.org/wiki/AMD,9
8,AES,AES Corporation,https://en.wikipedia.org/wiki/AES_Corporation,3
9,AFL,Aflac,https://en.wikipedia.org/wiki/Aflac,-1
10,A,Agilent Technologies,https://en.wikipedia.org/wiki/Agilent_Technologies,-1
11,APD,Air Products,https://en.wikipedia.org/wiki/Air_Products,-1
12,ABNB,Airbnb,https://en.wikipedia.org/wiki/Airbnb,-1
13,AKAM,Akamai Technologies,https://en.wikipedia.org/wiki/Akamai_Technologies,-1
14,ALB,Albemarle Corporation,https://en.wikipedia.org/wiki/Albemarle_Corporation,-1
15,ARE,Alexandria Real Estate Equities,https://en.wikipedia.org/wiki/Alexandria_Real_Estate_Equities,-1
16,ALGN,Align Technology,https://en.wikipedia.org/wiki/Align_Technology,6
17,ALLE,Allegion,https://en.wikipedia.org/wiki/Allegion,3
18,LNT,Alliant Energy,https://en.wikipedia.org/wiki/Alliant_Energy,3
19,ALL,Allstate,https://en.wikipedia.org/wiki/Allstate,-1
20,GOOGL,Alphabet Inc. (Class A),https://en.wikipedia.org/wiki/Alphabet_Inc.,10
21,GOOG,Alphabet Inc. (Class C),https://en.wikipedia.org/wiki/Alphabet_Inc.,10
22,MO,Altria,https://en.wikipedia.org/wiki/Altria,-1
23,AMZN,Amazon,https://en.wikipedia.org/wiki/Amazon_(company),10
24,AMCR,Amcor,https://en.wikipedia.org/wiki/Amcor,-1
25,AEE,Ameren,https://en.wikipedia.org/wiki/Ameren,3
26,AEP,American Electric Power,https://en.wikipedia.org/wiki/American_Electric_Power,3
27,AXP,American Express,https://en.wikipedia.org/wiki/American_Express,-1
28,AIG,American International Group,https://en.wikipedia.org/wiki/American_International_Group,-1
29,AMT,American Tower,https://en.wikipedia.org/wiki/American_Tower,7
30,AWK,American Water Works,https://en.wikipedia.org/wiki/American_Water_Works,3
31,AMP,Ameriprise Financial,https://en.wikipedia.org/wiki/Ameriprise_Financial,-1
32,AME,Ametek,https://en.wikipedia.org/wiki/Ametek,-1
33,AMGN,Amgen,https://en.wikipedia.org/wiki/Amgen,-1
34,APH,Amphenol,https://en.wikipedia.org/wiki/Amphenol,-1
35,ADI,Analog Devices,https://en.wikipedia.org/wiki/Analog_Devices,9
36,AON,Aon plc,https://en.wikipedia.org/wiki/Aon_(company),3
37,APA,APA Corporation,https://en.wikipedia.org/wiki/APA_Corporation,-1
38,APO,Apollo Global Management,https://en.wikipedia.org/wiki/Apollo_Global_Management,-1
39,AAPL,Apple Inc.,https://en.wikipedia.org/wiki/Apple_Inc.,10
40,AMAT,Applied Materials,https://en.wikipedia.org/wiki/Applied_Materials,9
41,APP,AppLovin,https://en.wikipedia.org/wiki/AppLovin,-1
42,APTV,Aptiv,https://en.wikipedia.org/wiki/Aptiv,-1
43,ACGL,Arch Capital Group,https://en.wikipedia.org/wiki/Arch_Capital_Group,-1
44,ADM,Archer Daniels Midland,https://en.wikipedia.org/wiki/Archer_Daniels_Midland,-1
45,ANET,Arista Networks,https://en.wikipedia.org/wiki/Arista_Networks,-1
46,AJG,Arthur J. Gallagher & Co.,https://en.wikipedia.org/wiki/Arthur_J._Gallagher_%26_Co.,-1
47,AIZ,Assurant,https://en.wikipedia.org/wiki/Assurant,-1
48,T,AT&T,https://en.wikipedia.org/wiki/AT%26T,-1
49,ATO,Atmos Energy,https://en.wikipedia.org/wiki/Atmos_Energy,3
50,ADSK,Autodesk,https://en.wikipedia.org/wiki/Autodesk,-1
51,ADP,Automatic Data Processing,https://en.wikipedia.org/wiki/ADP_(company),-1
52,AZO,AutoZone,https://en.wikipedia.org/wiki/AutoZone,-1
53,AVB,AvalonBay Communities,https://en.wikipedia.org/wiki/AvalonBay_Communities,-1
54,AVY,Avery Dennison,https://en.wikipedia.org/wiki/Avery_Dennison,9
55,AXON,Axon Enterprise,https://en.wikipedia.org/wiki/Axon_Enterprise,-1
56,BKR,Baker Hughes,https://en.wikipedia.org/wiki/Baker_Hughes,3
57,BALL,Ball Corporation,https://en.wikipedia.org/wiki/Ball_Corporation,2
58,BAC,Bank of America,https://en.wikipedia.org/wiki/Bank_of_America,8
59,BAX,Baxter International,https://en.wikipedia.org/wiki/Baxter_International,7
60,BDX,Becton Dickinson,https://en.wikipedia.org/wiki/BD_(company),7
61,BRK.B,Berkshire Hathaway,https://en.wikipedia.org/wiki/Berkshire_Hathaway,-1
62,BBY,Best Buy,https://en.wikipedia.org/wiki/Best_Buy,-1
63,TECH,Bio-Techne,https://en.wikipedia.org/wiki/Bio-Techne,7
64,BIIB,Biogen,https://en.wikipedia.org/wiki/Biogen,7
65,BLK,BlackRock,https://en.wikipedia.org/wiki/BlackRock,-1
66,BX,Blackstone Inc.,https://en.wikipedia.org/wiki/Blackstone_Inc.,-1
67,XYZ,"Block, Inc.","https://en.wikipedia.org/wiki/Block,_Inc.",-1
68,BK,BNY Mellon,https://en.wikipedia.org/wiki/BNY,8
69,BA,Boeing,https://en.wikipedia.org/wiki/Boeing,-1
